project_name,repository,file_path,line_number,usage_type,code_snippet,file_url
cinder,openstack/cinder,cinder/cmd/volume.py,35,MonkeyPatch,eventlet.monkey_patch(),https://opendev.org/openstack/cinder/src/branch/master/cinder/cmd/volume.py
cinder,openstack/cinder,cinder/image/image_utils.py,38,Import,from eventlet import tpool,https://opendev.org/openstack/cinder/src/branch/master/cinder/image/image_utils.py
cinder,openstack/cinder,cinder/manager.py,54,Import,from eventlet import greenpool,https://opendev.org/openstack/cinder/src/branch/master/cinder/manager.py
cinder,openstack/cinder,cinder/manager.py,55,Import,from eventlet import tpool,https://opendev.org/openstack/cinder/src/branch/master/cinder/manager.py
cinder,openstack/cinder,cinder/opts.py,205,Import,from cinder.wsgi import eventlet_server as cinder_wsgi_eventletserver,https://opendev.org/openstack/cinder/src/branch/master/cinder/opts.py
cinder,openstack/cinder,cinder/opts.py,326,"Other(""cinder_wsgi_eventletserver.socket_opts,"")","cinder_wsgi_eventletserver.socket_opts,",https://opendev.org/openstack/cinder/src/branch/master/cinder/opts.py
cinder,openstack/cinder,cinder/rpc.py,164,Executor,"executor='eventlet',",https://opendev.org/openstack/cinder/src/branch/master/cinder/rpc.py
cinder,openstack/cinder,cinder/scheduler/manager.py,26,Import,import eventlet,https://opendev.org/openstack/cinder/src/branch/master/cinder/scheduler/manager.py
cinder,openstack/cinder,cinder/scheduler/manager.py,120,Sleep,eventlet.sleep(1),https://opendev.org/openstack/cinder/src/branch/master/cinder/scheduler/manager.py
cinder,openstack/cinder,cinder/scheduler/manager.py,179,Sleep,eventlet.sleep(1),https://opendev.org/openstack/cinder/src/branch/master/cinder/scheduler/manager.py
cinder,openstack/cinder,cinder/ssh_utils.py,23,Import,from eventlet import pools,https://opendev.org/openstack/cinder/src/branch/master/cinder/ssh_utils.py
cinder,openstack/cinder,cinder/ssh_utils.py,59,"Other(""\""\""\""A simple eventlet pool to hold ssh connections."")","""""""A simple eventlet pool to hold ssh connections.""""""",https://opendev.org/openstack/cinder/src/branch/master/cinder/ssh_utils.py
cinder,openstack/cinder,cinder/utils.py,48,Import,import eventlet,https://opendev.org/openstack/cinder/src/branch/master/cinder/utils.py
cinder,openstack/cinder,cinder/utils.py,49,Import,from eventlet import tpool,https://opendev.org/openstack/cinder/src/branch/master/cinder/utils.py
cinder,openstack/cinder,cinder/utils.py,1007,"Other(""\""\""\""Custom semaphore to workaround eventlet issues "")","""""""Custom semaphore to workaround eventlet issues with multiprocessing.""""""",https://opendev.org/openstack/cinder/src/branch/master/cinder/utils.py
cinder,openstack/cinder,cinder/utils.py,1024,"Other(""eventlet.Semaphore"")","concurrent_processes: int) -> Union[eventlet.Semaphore,",https://opendev.org/openstack/cinder/src/branch/master/cinder/utils.py
cinder,openstack/cinder,cinder/utils.py,1035,"Other(""eventlet.Semaphore"")",return eventlet.Semaphore(limit),https://opendev.org/openstack/cinder/src/branch/master/cinder/utils.py
cinder,openstack/cinder,cinder/volume/drivers/datera/datera_api21.py,23,Import,import eventlet,https://opendev.org/openstack/cinder/src/branch/master/cinder/volume/drivers/datera/datera_api21.py
cinder,openstack/cinder,cinder/volume/drivers/datera/datera_api21.py,908,Sleep,eventlet.sleep(2),https://opendev.org/openstack/cinder/src/branch/master/cinder/volume/drivers/datera/datera_api21.py
cinder,openstack/cinder,cinder/volume/drivers/datera/datera_api21.py,925,Sleep,eventlet.sleep(datc.DEFAULT_SNAP_SLEEP),https://opendev.org/openstack/cinder/src/branch/master/cinder/volume/drivers/datera/datera_api21.py
cinder,openstack/cinder,cinder/volume/drivers/datera/datera_api21.py,935,Sleep,eventlet.sleep(1),https://opendev.org/openstack/cinder/src/branch/master/cinder/volume/drivers/datera/datera_api21.py
cinder,openstack/cinder,cinder/volume/drivers/datera/datera_api21.py,942,Sleep,eventlet.sleep(datc.DEFAULT_SI_SLEEP),https://opendev.org/openstack/cinder/src/branch/master/cinder/volume/drivers/datera/datera_api21.py
cinder,openstack/cinder,cinder/volume/drivers/datera/datera_api21.py,952,Sleep,eventlet.sleep(1),https://opendev.org/openstack/cinder/src/branch/master/cinder/volume/drivers/datera/datera_api21.py
cinder,openstack/cinder,cinder/volume/drivers/datera/datera_api22.py,23,Import,import eventlet,https://opendev.org/openstack/cinder/src/branch/master/cinder/volume/drivers/datera/datera_api22.py
cinder,openstack/cinder,cinder/volume/drivers/datera/datera_api22.py,958,Sleep,eventlet.sleep(2),https://opendev.org/openstack/cinder/src/branch/master/cinder/volume/drivers/datera/datera_api22.py
cinder,openstack/cinder,cinder/volume/drivers/datera/datera_api22.py,975,Sleep,eventlet.sleep(datc.DEFAULT_SNAP_SLEEP),https://opendev.org/openstack/cinder/src/branch/master/cinder/volume/drivers/datera/datera_api22.py
cinder,openstack/cinder,cinder/volume/drivers/datera/datera_api22.py,985,Sleep,eventlet.sleep(1),https://opendev.org/openstack/cinder/src/branch/master/cinder/volume/drivers/datera/datera_api22.py
cinder,openstack/cinder,cinder/volume/drivers/datera/datera_api22.py,992,Sleep,eventlet.sleep(datc.DEFAULT_SI_SLEEP),https://opendev.org/openstack/cinder/src/branch/master/cinder/volume/drivers/datera/datera_api22.py
cinder,openstack/cinder,cinder/volume/drivers/datera/datera_api22.py,1002,Sleep,eventlet.sleep(1),https://opendev.org/openstack/cinder/src/branch/master/cinder/volume/drivers/datera/datera_api22.py
cinder,openstack/cinder,cinder/volume/drivers/datera/datera_iscsi.py,19,Import,from eventlet.green import threading,https://opendev.org/openstack/cinder/src/branch/master/cinder/volume/drivers/datera/datera_iscsi.py
cinder,openstack/cinder,cinder/volume/drivers/dell_emc/sc/storagecenter_api.py,21,Import,import eventlet,https://opendev.org/openstack/cinder/src/branch/master/cinder/volume/drivers/dell_emc/sc/storagecenter_api.py
